#MIN=0	0	0	0	0
#MAX=50	30	100	10	70
#SCALE=50	10	50	5	10
#DEC=1	2	1	2	2
#DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
0	-0.015	0	-0.015	0
0.099	-0.03	0	-0.03	0
0.199	-0.03	0	-0.03	0
0.299	-0.03	0	-0.03	0
0.399	-0.03	0	-0.03	0
0.499	-0.03	0	-0.03	0
0.599	-0.03	0	-0.03	0
0.699	-0.03	0	-0.03	0
0.799	-0.03	0	-0.03	0
0.899	-0.03	0	-0.03	0
0.999	-0.03	0	-0.03	0
1.099	-0.03	0	-0.03	0
1.199	-0.03	0	-0.03	0
1.299	-0.03	0	-0.03	0
1.399	-0.03	0.5	-0.03	0.5
1.499	-0.03	0.5	-0.03	0.5
1.599	-0.03	0.5	-0.03	0.5
1.699	-0.03	1	-0.03	1
1.799	-0.03	1	-0.03	1
1.899	-0.03	1.5	-0.03	1.5
1.999	-0.03	2	-0.03	2
2.099	-0.03	2	-0.03	2
2.199	-0.045	2	-0.045	2
2.299	-0.03	2.5	-0.03	2.5
2.399	-0.03	2.5	-0.03	2.5
2.499	-0.03	3	-0.03	3
2.599	-0.045	3	-0.045	3
2.699	-0.03	3.5	-0.03	3.5
2.799	-0.045	3	-0.045	3
2.899	-0.03	3.5	-0.03	3.5
2.999	-0.03	4	-0.03	4
3.099	-0.03	4	-0.03	4
3.199	-0.03	4.5	-0.03	4.5
3.299	-0.03	4.5	-0.03	4.5
3.399	-0.03	4.5	-0.03	4.5
3.499	-0.03	5	-0.03	5
3.599	-0.03	5	-0.03	5
3.699	-0.03	5.5	-0.03	5.5
3.799	-0.03	5.5	-0.03	5.5
3.899	-0.015	6	-0.015	6
3.999	-0.03	6	-0.03	6
4.099	-0.015	6.5	-0.015	6.5
4.199	-0.03	6.5	-0.03	6.5
4.299	-0.015	6.5	-0.015	6.5
4.399	-0.015	7	-0.015	7
4.499	-0.015	7	-0.015	7
4.599	-0.015	7.5	-0.015	7.5
4.699	0	7.5	0	7.5
