#&a / °	I1 / %
5.459	0.8
5.454	0.8
5.449	0.8
5.443	0.8
5.438	0.8
5.433	0.8
5.428	0.8
5.422	0.8
5.417	0.8
5.412	0.8
5.406	0.8
5.401	0.8
5.396	0.8
5.390	0.8
5.385	0.8
5.380	0.8
5.375	0.8
5.369	0.8
5.364	0.8
5.359	0.8
5.353	0.8
5.348	0.8
5.343	0.8
5.337	0.8
5.332	0.8
5.327	0.8
5.322	0.8
5.316	0.8
5.311	0.8
5.306	0.8
5.300	0.8
5.295	0.8
5.290	0.8
5.284	0.8
5.279	0.8
5.274	0.8
5.269	0.8
5.263	0.8
5.258	0.8
5.253	0.8
5.247	0.8
5.242	0.8
5.237	0.8
5.231	0.8
5.226	0.8
5.221	0.8
5.216	0.4
5.210	0.4
5.205	0.4
5.200	0.4
5.194	0.4
5.189	0.4
5.184	0.4
5.178	0.4
5.173	0.4
5.168	0.4
5.162	0.4
5.157	0.4
5.152	0.4
5.147	0.4
5.141	0.4
5.136	0.4
5.131	0.4
5.125	0.4
5.120	0.4
5.115	0.4
5.109	0.4
5.104	0.4
5.099	0.4
5.094	0.4
5.088	0.4
5.083	0.4
5.078	0.4
5.072	0.4
5.067	0.4
5.062	0.4
5.056	0.4
5.051	0.4
5.046	0.4
5.040	0.4
5.035	0.4
5.030	0.4
5.025	0.4
5.019	0.4
5.014	0.4
5.009	0.4
5.003	0.4
4.998	0.4
4.993	0.4
4.987	0.4
4.982	0.4
4.977	0.8
4.971	0.8
4.966	0.8
4.961	0.8
4.956	0.8
4.950	0.8
4.945	0.8
4.940	0.8
4.934	0.8
4.929	0.8
4.924	0.8
4.918	0.8
4.913	0.8
4.908	0.8
4.902	0.8
4.897	0.8
4.892	0.8
4.887	0.8
4.881	0.8
4.876	0.8
4.871	1.2
4.865	1.2
4.860	1.2
4.855	1.2
4.849	1.2
4.844	1.2
4.839	1.2
4.833	1.2
4.828	1.2
4.823	1.2
4.818	1.2
4.812	1.2
4.807	1.2
4.802	1.2
4.796	1.6
4.791	1.6
4.786	1.6
4.780	1.6
4.775	1.6
4.770	1.6
4.764	1.6
4.759	1.2
4.754	1.2
4.748	1.2
4.743	1.2
4.738	1.2
4.733	1.6
4.727	1.6
4.722	2.0
4.717	2.4
4.711	2.4
4.706	2.4
4.701	2.4
4.695	2.4
4.690	2.0
4.685	2.0
4.679	2.0
4.674	1.6
4.669	1.6
4.663	1.6
4.658	1.6
4.653	1.6
4.648	2.0
4.642	2.8
4.637	3.6
4.632	4.0
4.626	4.0
4.621	4.0
4.616	4.0
4.610	3.6
4.605	3.2
4.600	2.4
4.594	2.0
4.589	2.0
4.584	2.0
4.578	2.0
4.573	2.4
4.568	2.8
4.563	3.2
4.557	4.0
4.552	4.8
4.547	5.6
4.541	5.6
4.536	5.2
4.531	4.8
4.525	4.0
4.520	3.2
4.515	2.8
4.509	2.4
4.504	2.0
4.499	2.0
4.493	2.0
4.488	2.4
4.483	3.2
4.478	4.0
4.472	5.2
4.467	6.4
4.462	7.2
4.456	7.6
4.451	7.2
4.446	6.0
4.440	4.8
4.435	4.0
4.430	3.2
4.424	2.8
4.419	2.8
4.414	2.8
4.408	2.8
4.403	3.2
4.398	3.6
4.392	4.8
