&a / °	I1 / %
5.459	0.8
5.454	0.8
5.449	0.8
5.443	0.8
5.438	0.8
5.433	0.8
5.428	0.8
5.422	0.8
5.417	0.8
5.412	0.8
5.406	0.8
5.401	0.8
5.396	0.8
5.390	0.8
5.385	0.8
5.380	0.8
5.375	0.8
5.369	0.8
5.364	0.8
5.359	0.8
5.353	0.8
5.348	0.8
5.343	0.8
5.337	0.8
5.332	0.8
5.327	0.8
5.322	0.8
5.316	0.8
5.311	0.8
5.306	0.8
5.300	0.8
5.295	0.8
5.290	0.8
5.284	0.8
5.279	0.8
5.274	0.8
5.269	0.8
5.263	0.8
5.258	0.8
5.253	0.8
5.247	0.8
5.242	0.8
5.237	0.8
5.231	0.8
5.226	0.8
5.221	0.8
5.216	0.8
5.210	0.8
5.205	0.8
5.200	0.8
5.194	0.8
5.189	0.8
5.184	0.8
5.178	0.8
5.173	0.8
5.168	0.8
5.162	0.8
5.157	0.8
5.152	0.8
5.147	0.8
5.141	0.8
5.136	0.8
5.131	0.8
5.125	0.8
5.120	0.8
5.115	0.8
5.109	0.8
5.104	0.8
5.099	0.8
5.094	0.8
5.088	0.8
5.083	0.8
5.078	0.8
5.072	0.8
5.067	0.8
5.062	0.8
5.056	0.8
5.051	0.8
5.046	0.8
5.040	0.8
5.035	0.8
5.030	0.8
5.025	0.8
5.019	0.8
5.014	0.8
5.009	0.8
5.003	0.8
4.998	0.8
4.993	0.8
4.987	0.8
4.982	0.8
4.977	0.8
4.971	0.8
4.966	0.8
4.961	0.8
4.956	0.8
4.950	0.8
4.945	0.8
4.940	0.8
4.934	0.8
4.929	0.8
4.924	0.8
4.918	0.8
4.913	0.8
4.908	0.8
4.902	0.8
4.897	0.8
4.892	0.8
4.887	0.8
4.881	0.8
4.876	0.8
4.871	0.8
4.865	0.8
4.860	0.8
4.855	0.8
4.849	0.8
4.844	0.8
4.839	0.8
4.833	0.8
4.828	0.8
4.823	0.8
4.818	1.2
4.812	1.2
4.807	1.2
4.802	1.6
4.796	1.6
4.791	1.6
4.786	1.6
4.780	1.6
4.775	1.6
4.770	1.6
4.764	1.6
4.759	1.2
4.754	1.2
4.748	1.2
4.743	1.2
4.738	1.2
4.733	1.6
4.727	1.6
4.722	2.0
4.717	2.0
4.711	2.4
4.706	2.4
4.701	2.4
4.695	2.4
4.690	2.0
4.685	1.6
4.679	1.6
4.674	1.6
4.669	1.6
4.663	1.6
4.658	1.6
4.653	2.0
4.648	2.4
4.642	2.8
4.637	3.2
4.632	3.2
4.626	3.6
4.621	3.6
4.616	3.6
4.610	3.2
4.605	2.8
4.600	2.4
4.594	2.0
4.589	2.0
4.584	2.0
4.578	2.0
4.573	2.4
4.568	2.8
4.563	3.2
4.557	3.6
4.552	4.4
4.547	4.8
4.541	5.2
4.536	4.8
4.531	4.4
4.525	4.0
4.520	3.6
4.515	3.2
4.509	2.8
4.504	2.4
4.499	2.4
4.493	2.4
4.488	2.8
4.483	3.6
4.478	4.4
4.472	5.2
4.467	6.0
4.462	6.8
4.456	7.2
4.451	6.8
4.446	6.4
4.440	5.2
4.435	4.4
4.430	3.6
4.424	3.2
4.419	2.8
4.414	2.8
4.408	2.8
4.403	3.2
4.398	4.0
4.392	4.8
