#&a / °	I1 / %
5.459	1.2
5.454	1.2
5.449	1.2
5.443	1.2
5.438	1.2
5.433	1.2
5.428	1.2
5.422	1.2
5.417	1.2
5.412	1.2
5.406	1.2
5.401	1.2
5.396	1.2
5.390	1.2
5.385	1.2
5.380	1.2
5.375	1.2
5.369	1.2
5.364	1.2
5.359	1.2
5.353	1.2
5.348	1.2
5.343	1.2
5.337	1.2
5.332	1.2
5.327	1.2
5.322	1.2
5.316	1.2
5.311	1.2
5.306	1.2
5.300	1.2
5.295	1.2
5.290	1.2
5.284	1.2
5.279	1.2
5.274	1.2
5.269	1.2
5.263	1.2
5.258	1.2
5.253	1.2
5.247	1.2
5.242	1.2
5.237	1.2
5.231	1.2
5.226	1.2
5.221	1.2
5.216	1.2
5.210	1.2
5.205	1.2
5.200	1.2
5.194	1.2
5.189	1.2
5.184	1.2
5.178	1.2
5.173	1.2
5.168	1.2
5.162	1.2
5.157	1.2
5.152	1.2
5.147	1.2
5.141	1.2
5.136	1.2
5.131	1.2
5.125	1.2
5.120	1.2
5.115	1.2
5.109	1.2
5.104	1.2
5.099	1.2
5.094	1.2
5.088	1.2
5.083	1.2
5.078	1.2
5.072	1.2
5.067	1.2
5.062	1.2
5.056	1.2
5.051	1.2
5.046	1.2
5.040	1.2
5.035	1.2
5.030	1.6
5.025	1.6
5.019	1.6
5.014	1.6
5.009	1.6
5.003	1.6
4.998	1.6
4.993	1.6
4.987	1.6
4.982	1.6
4.977	1.6
4.971	1.6
4.966	1.6
4.961	1.6
4.956	1.6
4.950	1.6
4.945	1.6
4.940	1.6
4.934	1.6
4.929	1.6
4.924	1.6
4.918	1.6
4.913	1.6
4.908	1.6
4.902	1.6
4.897	2.0
4.892	2.0
4.887	2.0
4.881	2.0
4.876	2.4
4.871	2.4
4.865	2.4
4.860	2.4
4.855	2.4
4.849	2.4
4.844	2.4
4.839	2.4
4.833	2.4
4.828	2.4
4.823	2.4
4.818	2.8
4.812	2.8
4.807	3.2
4.802	3.2
4.796	3.2
4.791	3.2
4.786	3.2
4.780	3.2
4.775	3.6
4.770	3.6
4.764	3.6
4.759	3.2
4.754	3.2
4.748	3.2
4.743	3.6
4.738	3.6
4.733	4.0
4.727	4.0
4.722	4.4
4.717	4.4
4.711	4.4
4.706	4.4
4.701	4.4
4.695	4.4
4.690	4.4
4.685	4.4
4.679	4.0
4.674	4.0
4.669	4.0
4.663	4.0
4.658	4.4
4.653	4.8
4.648	5.2
4.642	5.6
4.637	6.0
4.632	6.4
4.626	6.4
4.621	6.4
4.616	6.4
4.610	6.4
4.605	6.0
4.600	5.6
4.594	5.2
4.589	4.8
4.584	4.8
4.578	5.2
4.573	6.0
4.568	6.4
4.563	6.8
4.557	7.2
4.552	8.4
4.547	8.8
4.541	8.8
4.536	8.4
4.531	8.4
4.525	8.0
4.520	7.6
4.515	6.8
4.509	6.0
4.504	5.6
4.499	5.6
4.493	6.0
4.488	6.8
4.483	7.6
4.478	8.4
4.472	9.2
4.467	10.4
4.462	11.2
4.456	11.2
4.451	10.8
4.446	10.4
4.440	10.4
4.435	9.6
4.430	8.4
4.424	7.2
4.419	6.8
4.414	6.8
4.408	7.6
4.403	8.8
4.398	9.6
4.392	10.0
4.387	10.8
4.382	12.4
4.377	14.0
4.371	14.0
4.366	13.6
4.361	12.8
4.355	12.4
4.350	11.6
4.345	10.0
4.339	8.8
4.334	8.0
4.329	8.0
4.323	8.8
4.318	9.6
4.313	11.2
4.307	12.4
4.302	13.2
4.297	14.4
4.291	15.6
4.286	16.4
4.281	16.0
4.275	15.6
4.270	15.2
4.265	14.4
4.260	12.8
4.254	11.2
4.249	9.6
4.244	9.2
4.238	9.6
